modelType,model,type,commonName,architecture,sockets,coresPerSocket,totalCores,frequencyGHz,CPW,iseriesModelType,rperfSMT1,rperfSMT2,rperfSMT4,rperfSMT8
7029-6C3,7029,6C3,p615,p4+,1,1,1,1.2,,,2.5,,,
7029-6C3,7029,6C3,p615,p4+,1,2,2,1.2,,,4,,,
7029-6E3,7029,6.00E+03,p615,p4+,1,1,1,1.2,,,2.5,,,
7029-6E3,7029,6.00E+03,p615,p4+,1,2,2,1.2,,,4,,,
7029-6E3,7029,6.00E+03,p615,p4+,1,2,2,1.45,,,4.4,,,
7029-6E3,7029,6.00E+03,p615,p4_,1,2,2,1.45,,,4.4,,,
7028-6C4,7028,6C4,p630,p4_,1,1,1,1,,,1.7,,,
7028-6C4,7028,6C4,p630,p4_,2,2,4,1,,,7.1,,,
7028-6E4,7028,6.00E+04,p630,p4_,1,1,1,1,,,1.7,,,
7028-6E4,7028,6.00E+04,p630,p4_,2,2,4,1,,,7.1,,,
7028-6C4,7028,6C4,p630,p4+,1,1,1,1.2,,,2.5,,,
7028-6C4,7028,6C4,p630,p4+,2,2,4,1.2,,,8.1,,,
7028-6E4,7028,6.00E+04,p630,p4+,1,1,1,1.2,,,2.5,,,
7028-6E4,7028,6.00E+04,p630,p4+,2,2,4,1.2,,,8.1,,,
7028-6C4,7028,6C4,p630,p4+,1,1,1,1.45,,,2.9,,,
7028-6C4,7028,6C4,p630,p4+,2,2,4,1.45,,,8.7,,,
7028-6E4,7028,6.00E+04,p630,p4+,1,1,1,1.45,,,2.9,,,
7028-6E4,7028,6.00E+04,p630,p4+,2,2,4,1.45,,,8.7,,,
7038-6M2,7038,6M2,p650,p4+,1,2,2,1.2,,,4,,,
7038-6M2,7038,6M2,p650,p4+,2,2,4,1.2,,,8.1,,,
7038-6M2,7038,6M2,p650,p4+,3,2,6,1.2,,,11.8,,,
7038-6M2,7038,6M2,p650,p4+,4,2,8,1.2,,,15.5,,,
7038-6M2,7038,6M2,p650,p4+,1,2,2,1.45,,,4.5,,,
7038-6M2,7038,6M2,p650,p4+,2,2,4,1.45,,,9.1,,,
7038-6M2,7038,6M2,p650,p4+,3,2,6,1.45,,,13.5,,,
7038-6M2,7038,6M2,p650,p4+,4,4,8,1.45,,,18.7,,,
7040-671,7040,671,p670,p4_,1,8,4,1.1,,,10.2,,,
7040-671,7040,671,p670,p4_,1,8,8,1.1,,,18,,,
7040-671,7040,671,p670,p4_,2,8,16,1.1,,,34.7,,,
7040-671,7040,671,p670,p4_,1,8,4,1.5,,,13.7,,,
7040-671,7040,671,p670,p4_,1,8,8,1.5,,,24.2,,,
7040-671,7040,671,p670,p4_,2,8,16,1.5,,,46.8,,,
7040-681,7040,681,p690,p4_,1,8,8,1.1,,,18,,,
7040-681,7040,681,p690,p4_,2,8,16,1.1,,,34.7,,,
7040-681,7040,681,p690,p4_,3,8,24,1.1,,,48.1,,,
7040-681,7040,681,p690,p4_,4,8,32,1.1,,,60.7,,,
7040-681,7040,681,p690,p4_,1,8,8,1.5,,,24.2,,,
7040-681,7040,681,p690,p4_,2,8,16,1.5,,,46.8,,,
7040-681,7040,681,p690,p4_,3,8,24,1.5,,,65,,,
7040-681,7040,681,p690,p4_,4,8,32,1.5,,,82,,,
7040-681,7040,681,p690,p4_,1,8,8,1.3,,,21.2,,,
7040-681,7040,681,p690,p4_,2,8,16,1.3,,,40.9,,,
7040-681,7040,681,p690,p4_,3,8,24,1.3,,,56.5,,,
7040-681,7040,681,p690,p4_,4,8,32,1.3,,,71.4,,,
7040-681,7040,681,p690-HPC,p4_,2,8,8,1.3,,,22.7,,,
7040-681,7040,681,p690-HPC,p4_,4,8,16,1.3,,,42.1,,,
7040-681,7040,681,p690,p4+,1,8,8,1.7,,,27.1,,,
7040-681,7040,681,p690,p4+,2,8,16,1.7,,,52.5,,,
7040-681,7040,681,p690,p4+,3,8,24,1.7,,,72.9,,,
7040-681,7040,681,p690,p4+,4,8,32,1.7,,,92.2,,,
7040-681,7040,681,p690,p4+,1,8,8,1.9,,,30.6,,,
7040-681,7040,681,p690,p4+,2,8,16,1.9,,,59.3,,,
7040-681,7040,681,p690,p4+,3,8,24,1.9,,,82.3,,,
7040-681,7040,681,p690,p4+,4,8,32,1.9,,,104.2,,,
9115-505,9115,505,p5-505,p5_,1,2,2,1.5,,,,9.1,,
9115-505,9115,505,p5-505,p5_,1,1,1,1.65,,,,3.5,,
9115-505,9115,505,p5-505,p5_,1,2,2,1.65,,,,9.9,,
9115-505,9115,505,p5-505,p5+,1,1,1,1.9,,,,4.1,,
9115-505,9115,505,p5-505,p5+,1,2,2,1.9,,,,11.5,,
9115-505,9115,505,p5-505,p5+,1,2,2,2.1,,,,12.5,,
9115-505,9115,505,p5-505Q,p5+,1,4,4,1.65,,,,20.3,,
9110-510,9110,510,p5-510,p5_,1,1,1,1.5,,,,3.3,,
9110-510,9110,510,p5-510,p5_,1,2,2,1.5,,,,9.1,,
9110-510,9110,510,p5-510,p5_,1,1,1,1.65,,,,5.2,,
9110-510,9110,510,p5-510,p5_,1,2,2,1.65,,,,9.9,,
9110-510,9110,510,p5-510,p5+,1,1,1,1.9,,,,6.1,,
9110-510,9110,510,p5-510,p5+,1,2,2,1.9,,,,11.5,,
9110-51A,9110,51A,p5-510,p5+,1,1,1,2.1,,,,6.6,,
9110-51A,9110,51A,p5-510,p5+,1,2,2,2.1,,,,12.5,,
9110-51A,9110,51A,p5-510Q,p5+,1,4,4,1.5,,,,18.8,,
9110-51A,9110,51A,p5-510Q,p5+,1,4,4,1.65,,,,20.3,,
9111-520,9111,520,p5-520,p5_,1,1,1,1.5,2400,9406-520,,3.3,,
9111-520,9111,520,p5-520,p5_,1,2,2,1.5,,,,9.1,,
9111-520,9111,520,p5-520,p5_,1,2,2,1.65,6000,9406-520,,9.9,,
9131-52A,9131,52A,p5-520,p5+,1,1,1,1.65,3300,9406-520,,3.6,,
9131-52A,9131,52A,p5-520,p5+,1,2,2,1.65,6000,9406-520,,10.2,,
9131-52A,9131,52A,p5-520,p5+,1,2,2,1.9,7100,9406-525,,11.2,,
9131-52A,9131,52A,p5-520,p5+,1,1,1,2.1,,,,6.6,,
9131-52A,9131,52A,p5-520,p5+,1,2,2,2.1,,,,12.5,,
9131-52A,9131,52A,p5-520Q,p5+,1,4,4,1.5,,,,18.8,,
9131-52A,9131,52A,p5-520Q,p5+,1,4,4,1.65,,,,20.3,,
9113-550,9113,550,p5-550,p5_,1,1,1,1.5,,,,3.3,,
9113-550,9113,550,p5-550,p5_,2,2,2,1.5,,,,9.1,,
9113-550,9113,550,p5-550,p5_,2,2,4,1.5,,,,18.2,,
9113-550,9113,550,p5-550,p5_,2,1,2,1.65,,,,9.9,,
9113-550,9113,550,p5-550,p5_,2,2,4,1.65,,,,19.7,,
9133-55A,9133,55A,p5-550,p5+,2,1,2,1.65,6000,9406-550,,10.2,,
9133-55A,9133,55A,p5-550,p5+,2,2,4,1.65,12000,9406-550,,20.3,,
9133-55A,9133,55A,p5-550,p5+,2,1,2,1.9,7100,9406-550,,11.2,,
9133-55A,9133,55A,p5-550,p5+,2,2,4,1.9,14000,9406-550,,22.3,,
9133-55A,9133,55A,p5-550,p5+,2,1,2,2.1,,,,12.5,,
9133-55A,9133,55A,p5-550,p5+,2,2,4,2.1,,,,24.9,,
9133-55A,9133,55A,p5-550Q,p5+,1,4,4,1.5,,,,18.2,,
9133-55A,9133,55A,p5-550Q,p5+,2,4,8,1.5,,,,34.5,,
9133-55A,9133,55A,p5-550Q,p5+,1,4,4,1.65,,,,20.3,,
9133-55A,9133,55A,p5-550Q,p5+,2,4,8,1.65,,,,38.3,,
9116-561,9116,561,p5-560Q,p5+,1,4,4,1.5,,,,18.8,,
9116-561,9116,561,p5-560Q,p5+,2,4,8,1.5,,,,35.5,,
9116-561,9116,561,p5-560Q,p5+,4,4,16,1.5,,,,65.2,,
9116-561,9116,561,p5-560Q,p5+,1,4,4,1.8,,,,21.7,,
9116-561,9116,561,p5-560Q,p5+,2,4,8,1.8,,,,41.1,,
9116-561,9116,561,p5-560Q,p5+,4,4,16,1.8,,,,75.6,,
9117-570,9117,570,p5-570,p5_,1,2,2,1.5,,,,9.1,,
9117-570,9117,570,p5-570,p5_,2,2,4,1.5,,,,18.2,,
9117-570,9117,570,p5-570,p5_,4,2,8,1.5,,,,34.5,,
9117-570,9117,570,p5-570,p5_,1,2,2,1.65,6000,9406-570,,9.9,,
9117-570,9117,570,p5-570,p5_,2,2,4,1.65,12000,9406-570,,19.7,,
9117-570,9117,570,p5-570,p5_,4,2,8,1.65,23500,9406-570,,37.2,,
9117-570,9117,570,p5-570,p5_,6,2,12,1.65,33400,9406-570,,53.4,,
9117-570,9117,570,p5-570,p5_,8,2,16,1.65,44700,9406-570,,68.4,,
9117-570,9117,570,p5-570,p5_,1,2,2,1.9,,,,11.2,,
9117-570,9117,570,p5-570,p5_,2,2,4,1.9,,,,22.3,,
9117-570,9117,570,p5-570,p5_,4,2,8,1.9,,,,42.1,,
9117-570,9117,570,p5-570,p5_,6,2,12,1.9,,,,60.5,,
9117-570,9117,570,p5-570,p5_,8,2,16,1.9,,,,77.5,,
9117-570,9117,570,p5-570,p5+,1,2,2,1.9,,,,12.3,,
9117-570,9117,570,p5-570,p5+,2,2,4,1.9,,,,24.5,,
9117-570,9117,570,p5-570,p5+,4,2,8,1.9,,,,46.4,,
9117-570,9117,570,p5-570,p5+,6,2,12,1.9,,,,66.6,,
9117-570,9117,570,p5-570,p5+,8,2,16,1.9,,,,85.2,,
9117-570,9117,570,p5-570,p5+,1,2,2,2.2,8100,9406-570,,13.8,,
9117-570,9117,570,p5-570,p5+,2,2,4,2.2,16700,9406-570,,27.6,,
9117-570,9117,570,p5-570,p5+,4,2,8,2.2,31100,9406-570,,52.2,,
9117-570,9117,570,p5-570,p5+,6,2,12,2.2,,,,75,,
9117-570,9117,570,p5-570,p5+,8,2,16,2.2,58500,9406-570,,96,,
9119-590,9119,590,p5-590,p5_,1,8,8,1.65,24500,9406-595,,41.7,,
9119-590,9119,590,p5-590,p5_,2,8,16,1.65,46000,9406-595,,80.9,,
9119-590,9119,590,p5-590,p5_,3,8,24,1.65,,,,116.3,,
9119-590,9119,590,p5-590,p5_,4,8,32,1.65,165000,9406-595,,151.7,,
9119-590,9119,590,p5-590,p5+,1,8,8,2.1,,,,55.7,,
9119-590,9119,590,p5-590,p5+,2,8,16,2.1,,,,108.1,,
9119-590,9119,590,p5-590,p5+,3,8,24,2.1,,,,155.5,,
9119-590,9119,590,p5-590,p5+,4,8,32,2.1,,,,202.9,,
9119-595,9119,595,p5-595,p5_,2,8,16,1.65,44700,9406-595,,80.9,,
9119-595,9119,595,p5-595,p5_,3,8,24,1.65,,,,116.3,,
9119-595,9119,595,p5-595,p5_,4,8,32,1.65,,,,151.7,,
9119-595,9119,595,p5-595,p5_,5,8,40,1.65,,,,182.1,,
9119-595,9119,595,p5-595,p5_,6,8,48,1.65,,,,212.4,,
9119-595,9119,595,p5-595,p5_,7,8,56,1.65,,,,242.8,,
9119-595,9119,595,p5-595,p5_,8,8,64,1.65,165000,9406-595,,273.1,,
9119-595,9119,595,p5-595,p5_,2,8,16,1.9,50500,9406-595,,90.7,,
9119-595,9119,595,p5-595,p5_,3,8,24,1.9,,,,130.4,,
9119-595,9119,595,p5-595,p5_,4,8,32,1.9,92000,9406-595,,170.1,,
9119-595,9119,595,p5-595,p5_,5,8,40,1.9,,,,204.1,,
9119-595,9119,595,p5-595,p5_,6,8,48,1.9,,,,238.2,,
9119-595,9119,595,p5-595,p5_,7,8,56,1.9,,,,272.2,,
9119-595,9119,595,p5-595,p5_,8,8,64,1.9,184000,9406-595,,306.2,,
9119-595,9119,595,p5-595,p5+,2,8,16,2.1,,,,108.1,,
9119-595,9119,595,p5-595,p5+,3,8,24,2.1,,,,155.5,,
9119-595,9119,595,p5-595,p5+,4,8,32,2.1,,,,202.9,,
9119-595,9119,595,p5-595,p5+,5,8,40,2.1,,,,243.5,,
9119-595,9119,595,p5-595,p5+,6,8,48,2.1,,,,284,,
9119-595,9119,595,p5-595,p5+,7,8,56,2.1,,,,324.6,,
9119-595,9119,595,p5-595,p5+,8,8,64,2.1,,,,365.2,,
9119-595,9119,595,p5-595,p5+,2,8,16,2.3,58800,9406-595,,116.5,,
9119-595,9119,595,p5-595,p5+,3,8,24,2.3,,,,167.6,,
9119-595,9119,595,p5-595,p5+,4,8,32,2.3,108000,9406-595,,218.6,,
